simulation_id,beta_A,tG_A,rho_A,eta_A,coef_A,beta_B,tG_B,rho_B,eta_B,coef_B,n0_A,n0_B,seed,status,status_info,final_timestep,final_cell_count_A,final_cell_count_B,num_divisions_A,num_divisions_B,num_deaths_A,num_deaths_B
23872,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47745,3,,96.09341807630223,0,9,0,79,0,170
23873,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47747,3,,72.4924437803489,0,10,0,69,0,159
23874,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47749,3,,99.70492002174316,0,10,0,84,0,174
23875,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47751,3,,92.31060001969804,0,9,0,82,0,173
23876,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47753,3,,71.71877070059665,0,10,0,79,0,169
23877,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47755,3,,73.83545565626848,0,10,0,80,0,170
23878,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47757,3,,74.39234947803686,0,10,0,73,0,163
23879,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47759,3,,72.9465562137793,0,10,0,74,0,164
23880,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47761,3,,79.17061121180826,0,10,0,85,0,175
23881,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47763,3,,192.72835241427248,0,10,0,101,0,191
23882,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47765,3,,79.78899674179162,0,10,0,81,0,171
23883,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47767,3,,97.9255116684491,0,9,0,79,0,170
23884,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47769,3,,101.76102006653186,0,10,0,83,0,173
23885,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47771,3,,72.92980145617597,0,10,0,77,0,167
23886,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47773,3,,74.115335352939,0,10,0,83,0,173
23887,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47775,3,,72.91980034496716,0,10,0,73,0,163
23888,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47777,3,,98.52339103648735,0,10,0,90,0,180
23889,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47779,3,,70.45285905618213,0,10,0,73,0,163
23890,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47781,3,,80.26543935642324,0,10,0,68,0,158
23891,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47783,3,,98.34704024695405,0,10,0,81,0,171
23892,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47785,3,,90.18082023241837,0,10,0,77,0,167
23893,0.3,100,0.3,0.1,1,0.2,100,0.1,0.02,1,0,100,47787,3,,73.51371056320218,0,9,0,73,0,164
