simulation_id,average_time_in_G1,effective_g1_sample_size,eta,final_cell_count,final_timestep,num_deaths,num_divisions,seed,status
518,45.547213013519496,828,2.4,1000,413.06090494798303,65,1001,1036,2
519,46.827102470127656,876,2.4,1000,428.2035043999775,88,1024,1038,2
520,44.56983019705992,879,2.4,1000,418.450526093092,84,1020,1040,2
521,43.93206114611736,848,2.4,1000,410.9386512600431,73,1009,1042,2
522,43.471826005457814,835,2.4,1000,404.42085554901337,69,1005,1044,2
523,46.38294478137729,866,2.4,1000,430.6722494823502,85,1021,1046,2
524,45.741325769488604,880,2.4,1000,417.49204860533496,80,1016,1048,2
525,45.0475673546744,856,2.4,1000,424.1841879265383,84,1020,1050,2
526,45.50682086378372,870,2.4,1000,430.53813647089794,80,1016,1052,2
527,45.67725034486697,855,2.4,1000,428.49675662313723,77,1013,1054,2
528,46.3903835347294,861,2.4,1000,429.4326559933266,78,1014,1056,2
529,45.459378754898644,843,2.4,1000,415.29416054512905,67,1003,1058,2
530,45.69616984943849,850,2.4,1000,431.20822708710296,76,1012,1060,2
531,44.94810393642747,849,2.4,1000,417.64636337830785,71,1007,1062,2
532,45.764737103948846,865,2.4,1000,425.9372264532436,86,1022,1064,2
533,46.18491352268247,907,2.4,1000,420.5440291103826,93,1029,1066,2
534,46.23169900471379,889,2.4,1000,427.2236892079125,88,1024,1068,2
535,44.41948638836139,831,2.4,1000,429.8945525319102,75,1011,1070,2
536,46.384200901003624,916,2.4,1000,419.6793776913651,87,1023,1072,2
537,46.08225219930224,869,2.4,1000,424.31435227562906,78,1014,1074,2
538,43.27045279515682,842,2.4,1000,403.63647113362725,61,997,1076,2
539,44.88302819495185,908,2.4,1000,416.8022425739349,79,1015,1078,2
540,47.3887290075577,875,2.4,1000,430.94115136236945,73,1009,1080,2
541,43.16828915673746,827,2.4,1000,407.54449634738927,63,999,1082,2
542,44.6407735134334,832,2.4,1000,411.81799994237036,57,993,1084,2
543,46.50483186320924,828,2.4,1000,430.18987527337543,61,997,1086,2
544,44.15921950796701,841,2.4,1000,411.46358996201263,64,1000,1088,2
545,46.73531947047495,895,2.4,1000,431.35296216492156,91,1027,1090,2
