simulation_id,beta_A,tG_A,rho_A,eta_A,coef_A,beta_B,tG_B,rho_B,eta_B,coef_B,n0_A,n0_B,seed,status,status_info,final_timestep,final_cell_count_A,final_cell_count_B,num_divisions_A,num_divisions_B,num_deaths_A,num_deaths_B
46339,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92679,3,,64.47104330911803,0,10,0,65,0,155
46340,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92681,3,,67.12500783457055,0,10,0,60,0,150
46341,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92683,3,,84.8387964391057,0,10,0,80,0,170
46342,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92685,3,,70.2002376671692,0,9,0,65,0,156
46343,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92687,3,,65.81424778705386,0,9,0,64,0,155
46344,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92689,3,,66.50578491289698,0,10,0,65,0,155
46345,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92691,3,,60.90039869291864,0,10,0,71,0,161
46346,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92693,3,,69.52873924367093,0,10,0,66,0,156
46347,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92695,3,,70.97700414631188,0,10,0,69,0,159
46348,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92697,3,,62.70773686232059,0,10,0,68,0,158
46349,0.3,100,0.3,0.1,1,0.3,100,0.25,0.02,1,0,100,92699,3,,81.53663469123103,0,10,0,72,0,162
46350,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92701,3,,58.12188969892714,0,10,0,63,0,153
46351,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92703,3,,83.7585558481692,0,9,0,72,0,163
46352,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92705,3,,57.90870466202716,0,9,0,69,0,160
46353,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92707,3,,57.656053501904054,0,10,0,60,0,150
46354,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92709,3,,81.78703179854,0,9,0,66,0,157
46355,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92711,3,,93.01799636855684,0,9,0,68,0,159
46356,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92713,3,,62.15997021971971,0,10,0,61,0,151
46357,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92715,3,,62.75549672463739,0,9,0,71,0,162
46358,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92717,3,,84.85742017130026,0,9,0,72,0,163
46359,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92719,3,,65.9674512707838,0,10,0,67,0,157
46360,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92721,3,,86.32117409760848,0,9,0,57,0,148
46361,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92723,3,,64.73092753959803,0,10,0,63,0,153
46362,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92725,3,,80.66893200893976,0,10,0,68,0,158
46363,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92727,3,,94.72008817178661,0,9,0,70,0,161
46364,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92729,3,,63.32109787692011,0,10,0,67,0,157
46365,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92731,3,,88.50859223307023,0,10,0,74,0,164
46366,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92733,3,,86.06999913779208,0,10,0,67,0,157
46367,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92735,3,,61.77320860061802,0,10,0,68,0,158
46368,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92737,3,,61.38840674525052,0,10,0,62,0,152
46369,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92739,3,,84.8712509686065,0,9,0,69,0,160
46370,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92741,3,,83.76552436344785,0,10,0,69,0,159
46371,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92743,3,,56.67069540565976,0,10,0,52,0,142
46372,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92745,3,,79.65948641310784,0,9,0,68,0,159
46373,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92747,3,,58.59019451627007,0,10,0,58,0,148
46374,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92749,3,,83.2247318310753,0,9,0,70,0,161
46375,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92751,3,,89.96705945001979,0,9,0,72,0,163
46376,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92753,3,,56.59335563168562,0,9,0,57,0,148
46377,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92755,3,,85.6706767269722,0,10,0,70,0,160
46378,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92757,3,,62.15257816074444,0,9,0,62,0,153
46379,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92759,3,,84.56737744037265,0,10,0,64,0,154
46380,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92761,3,,61.262000287355846,0,9,0,61,0,152
46381,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92763,3,,61.75338352373714,0,10,0,59,0,149
46382,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92765,3,,88.45846384404541,0,10,0,65,0,155
46383,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92767,3,,85.33361930175829,0,10,0,68,0,158
46384,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92769,3,,61.90920022666857,0,10,0,66,0,156
46385,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92771,3,,73.13792330266442,0,10,0,62,0,152
46386,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92773,3,,87.94604321588588,0,9,0,81,0,172
46387,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92775,3,,65.94161847366482,0,10,0,63,0,153
46388,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92777,3,,60.146904777503316,0,10,0,65,0,155
46389,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92779,3,,62.772109413838876,0,9,0,66,0,157
46390,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92781,3,,52.748028409003254,0,10,0,57,0,147
46391,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92783,3,,62.34984456883843,0,10,0,63,0,153
46392,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92785,3,,60.41472514930451,0,10,0,60,0,150
46393,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92787,3,,84.4219654051062,0,10,0,67,0,157
46394,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92789,3,,80.71664285882127,0,10,0,70,0,160
46395,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92791,3,,87.65547385835592,0,9,0,68,0,159
46396,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92793,3,,61.14419458366798,0,10,0,54,0,144
46397,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92795,3,,87.02055767610503,0,9,0,71,0,162
46398,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92797,3,,83.44472271640029,0,10,0,75,0,165
46399,0.3,100,0.3,0.1,1,0.35000000000000003,100,0.25,0.02,1,0,100,92799,3,,53.4774147322227,0,10,0,58,0,148
46400,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92801,3,,82.28499044193916,0,10,0,57,0,147
46401,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92803,3,,57.528974804806566,0,10,0,53,0,143
46402,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92805,3,,81.18091629503958,0,10,0,70,0,160
46403,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92807,3,,87.78728273288456,0,10,0,65,0,155
46404,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92809,3,,83.80291600355297,0,9,0,61,0,152
46405,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92811,3,,51.59725778951107,0,10,0,54,0,144
46406,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92813,3,,56.42923336693919,0,10,0,57,0,147
46407,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92815,3,,84.04518494242357,0,10,0,63,0,153
46408,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92817,3,,58.37797509576096,0,9,0,55,0,146
46409,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92819,3,,78.33412168586632,0,10,0,60,0,150
46410,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92821,3,,85.94596563934904,0,9,0,70,0,161
46411,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92823,3,,60.33227404060846,0,10,0,54,0,144
46412,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92825,3,,55.98570621587,0,10,0,57,0,147
46413,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92827,3,,78.90216679494884,0,9,0,58,0,149
46414,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92829,3,,58.41857348570515,0,10,0,56,0,146
46415,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92831,3,,87.52507361671806,0,10,0,66,0,156
46416,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92833,3,,83.54620466109178,0,9,0,63,0,154
46417,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92835,3,,55.26206605810985,0,10,0,54,0,144
46418,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92837,3,,58.54887122123859,0,9,0,61,0,152
46419,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92839,3,,51.455860415083386,0,10,0,44,0,134
46420,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92841,3,,83.91406836882737,0,9,0,66,0,157
46421,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92843,3,,53.2245814224831,0,10,0,58,0,148
46422,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92845,3,,86.46391188669462,0,10,0,64,0,154
46423,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92847,3,,82.88254007011976,0,10,0,57,0,147
46424,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92849,3,,46.99140132749225,0,10,0,41,0,131
46425,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92851,3,,54.6113378589864,0,10,0,52,0,142
46426,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92853,3,,53.25022552258045,0,10,0,53,0,143
46427,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92855,3,,54.81685460292425,0,10,0,54,0,144
46428,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92857,3,,55.33332169618157,0,10,0,47,0,137
46429,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92859,3,,82.33071901502436,0,9,0,54,0,145
46430,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92861,3,,47.87407406889641,0,10,0,47,0,137
46431,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92863,3,,54.638003512179125,0,10,0,52,0,142
