,t,G1_cell_count,G2_cell_count
4507,5046.53899194647,26,0
4508,5055.263938884581,25,1
4509,5057.145152299157,24,2
4510,5058.454414810181,23,3
4511,5061.543996709891,22,4
4512,5063.770436135903,21,5
4513,5068.09135725286,20,6
4514,5068.627788156161,19,7
4515,5068.67140229538,18,8
4516,5069.383521841672,17,8
4517,5070.632058191251,16,9
4518,5072.5398371425,14,9
4519,5073.8489981248,13,10
4520,5076.350977523652,12,11
4521,5082.1726475436435,11,12
4522,5083.012542176116,10,13
4523,5084.110949911643,9,13
4524,5084.3283469158105,8,13
4525,5085.626024761798,7,14
4526,5086.024616469995,6,15
4527,5086.541668948449,5,16
4528,5086.636298401681,4,16
4529,5087.283241389346,2,16
4530,5087.702966839965,1,16
4531,5088.080129103565,0,16
4532,5105.263938884581,2,15
4533,5107.145152299157,4,14
4534,5108.454414810181,6,13
4535,5111.543996709891,8,12
4536,5113.770436135903,10,11
4537,5118.09135725286,12,10
4538,5118.627788156161,14,9
4539,5118.67140229538,16,8
4540,5120.632058191251,18,7
4541,5123.8489981248,20,6
4542,5126.350977523652,22,5
4543,5129.731501388635,20,5
4544,5132.1726475436435,22,4
4545,5133.012542176116,24,3
4546,5135.626024761798,26,2
4547,5136.024616469995,28,1
4548,5136.541668948449,30,0
4549,5140.6921166191,29,1
4550,5141.928834515975,28,2
4551,5152.491935455928,27,2
4552,5154.760079574431,26,3
4553,5155.575186975394,25,4
4554,5156.396432900928,24,5
4555,5157.560691489842,23,6
4556,5159.236533830833,22,7
4557,5159.814692696951,20,7
4558,5159.990405184774,19,8
4559,5162.606095545799,18,9
4560,5164.327979390894,17,10
4561,5165.177780193106,16,11
4562,5166.256417412021,15,11
4563,5166.4111356849735,14,12
4564,5167.313267040364,13,13
4565,5169.05379238339,12,13
4566,5169.749444470517,11,14
4567,5173.17749315703,9,14
4568,5173.606941697978,8,14
4569,5174.629892600172,7,14
4570,5175.970284239151,6,14
4571,5178.357699266131,5,14
4572,5178.530477590525,4,14
4573,5178.89665234841,3,14
4574,5178.930395561802,2,14
4575,5178.950180733171,0,14
4576,5190.6921166191,2,13
4577,5191.928834515975,4,12
4578,5204.760079574431,6,11
4579,5205.575186975394,8,10
4580,5205.619789383808,6,10
4581,5206.396432900928,8,9
4582,5207.517532562252,6,9
